algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
random,0,58,5,23,0.00027652500284602866,True
bfs,0,51,5,23,0.0001486040055169724,True
dfs,0,8961,229,607,0.027597704996878747,True
dls50,0,4947,49,463,0.015064799001265783,True
dls75,0,14359,75,723,0.05531827000231715,True
dls100,0,31267,99,927,0.13497118299710564,True
ucs,0,43,5,23,0.00023141499696066603,True
astar,0,10,5,23,5.5127005907706916e-05,True
random,1,5607,105,474,0.042272792001313064,True
bfs,1,6972,95,374,0.03127260400651721,True
dfs,1,1833,1743,5370,0.013423585995042231,True
dls50,1,27471,,,0.10582117100420874,False
dls75,1,76112,,,0.270841179000854,False
dls100,1,139325,99,414,0.5634844310043263,True
ucs,1,7003,95,374,0.030607061002228875,True
astar,1,1471,95,374,0.00668237499485258,True
random,2,1367,45,144,0.005015192997234408,True
bfs,2,1231,41,104,0.003872431996569503,True
dfs,2,779,349,772,0.002625431996420957,True
dls50,2,13264,49,184,0.04193979800038505,True
dls75,2,26757,75,426,0.08305435300280806,True
dls100,2,49712,99,666,0.15913615400495473,True
ucs,2,1270,41,104,0.005079399001260754,True
astar,2,229,41,104,0.000992173001577612,True
random,3,6478,125,935,0.022381233000487555,True
bfs,3,4597,99,909,0.014637309999670833,True
dfs,3,4458,3325,9265,0.017030668001098093,True
dls50,3,9319,,,0.028562516999954823,False
dls75,3,31477,,,0.0975345560000278,False
dls100,3,66564,99,909,0.22694082100497326,True
ucs,3,4520,99,909,0.018330646002141293,True
astar,3,522,99,909,0.0025075119992834516,True
random,4,5621,86,365,0.036400272001628764,True
bfs,4,6044,78,285,0.018220877995190676,True
dfs,4,7701,1530,4257,0.026110904997040052,True
dls50,4,30844,,,0.10408094799640821,False
dls75,4,87836,,,0.36809120499674464,False
dls100,4,119703,100,505,0.5018484160027583,True
ucs,4,6078,78,285,0.026917735995084513,True
astar,4,1033,78,285,0.0046160929996403866,True
random,5,4957,73,523,0.017390239001542795,True
bfs,5,3984,51,483,0.011005085005308501,True
dfs,5,7923,1161,3141,0.02515493300597882,True
dls50,5,35763,,,0.11193588300375268,False
dls75,5,63816,75,651,0.20383261299866717,True
dls100,5,85456,99,873,0.28896455499489093,True
ucs,5,4017,51,483,0.039725215996440966,True
astar,5,135,51,483,0.0006866679977974854,True
random,6,8550,123,771,0.036763338997843675,True
bfs,6,8361,113,743,0.03558707499905722,True
dfs,6,4412,4055,11525,0.030801001004874706,True
dls50,6,31774,,,0.16260750700166682,False
dls75,6,85114,,,0.3326302989953547,False
dls100,6,168440,,,0.5760999400008586,False
ucs,6,8331,113,743,0.03520705600385554,True
astar,6,2614,113,743,0.015931080000882503,True
random,7,4201,65,353,0.01418581600592006,True
bfs,7,5035,63,333,0.014194334005878773,True
dfs,7,2244,1977,5109,0.008682790001330432,True
dls50,7,33689,,,0.10504284099442884,False
dls75,7,19461,75,435,0.060081032999733,True
dls100,7,40732,99,675,0.12988515100005316,True
ucs,7,5084,63,333,0.0212196779975784,True
astar,7,919,63,333,0.00413998599833576,True
random,8,3174,54,234,0.023376197001198307,True
bfs,8,3107,48,174,0.008420906000537798,True
dfs,8,7572,1466,4256,0.026289165994967334,True
dls50,8,12053,50,194,0.037961205998726655,True
dls75,8,23229,74,434,0.07289363699965179,True
dls100,8,45625,100,694,0.1481547200019122,True
ucs,8,3098,48,174,0.012812237997422926,True
astar,8,414,48,174,0.0017986820021178573,True
random,9,8284,125,449,0.0419046610040823,True
bfs,9,6591,101,209,0.01897655799984932,True
dfs,9,439,407,929,0.0016599250011495315,True
dls50,9,20737,,,0.06328976999793667,False
dls75,9,59030,,,0.19360235200292664,False
dls100,9,124842,,,0.4129866539951763,False
ucs,9,6662,101,209,0.02856175699707819,True
astar,9,812,101,209,0.0037000180018367246,True
random,10,4042,70,376,0.014143055996100884,True
bfs,10,4057,64,316,0.011863364001328591,True
dfs,10,6711,2634,7926,0.023776600995915942,True
dls50,10,28802,,,0.09550873499392765,False
dls75,10,57157,74,416,0.18462489900412038,True
dls100,10,56254,100,586,0.18523176800226793,True
ucs,10,4075,64,316,0.01760106599977007,True
astar,10,885,64,316,0.004115305993764196,True
random,11,3355,67,202,0.011762602000089828,True
bfs,11,2904,57,102,0.008032132995140273,True
dfs,11,756,671,1940,0.0028141610018792562,True
dls50,11,21517,,,0.06590306999714812,False
dls75,11,51682,75,282,0.16397717899963027,True
dls100,11,92024,99,522,0.2993698460049927,True
ucs,11,2950,57,102,0.025272440005210228,True
astar,11,262,57,102,0.0011780369968619198,True
random,12,5981,79,367,0.020873079003649764,True
bfs,12,6244,73,325,0.017609331000130624,True
dfs,12,6952,1885,5863,0.02311385900247842,True
dls50,12,35664,,,0.12341942499915604,False
dls75,12,89463,75,345,0.2862552840015269,True
dls100,12,107278,99,585,0.35001989099691855,True
ucs,12,6221,73,325,0.02647466800408438,True
astar,12,1096,73,325,0.007916417001979426,True
random,13,2024,61,403,0.0067662369983736426,True
bfs,13,1592,41,383,0.004411752997839358,True
dfs,13,3170,2933,9179,0.01362372900621267,True
dls50,13,14924,49,427,0.04520000599586638,True
dls75,13,10991,75,597,0.034048478002659976,True
dls100,13,15332,99,621,0.047231381002347916,True
ucs,13,1615,41,383,0.006469065003329888,True
astar,13,79,41,383,0.0003982659982284531,True
random,14,1391,43,340,0.004612853997969069,True
bfs,14,1082,35,332,0.0029203090016380884,True
dfs,14,1937,1793,5042,0.007646156998816878,True
dls50,14,180,49,454,0.0005600770018645562,True
dls75,14,2414,75,678,0.006989847999648191,True
dls100,14,8127,97,880,0.02986332400178071,True
ucs,14,1041,35,332,0.004158900999755133,True
astar,14,89,35,332,0.0004473119988688268,True
random,15,3074,53,170,0.010474588998476975,True
bfs,15,3041,47,110,0.008480252996378113,True
