algorithm_name,env_n,size,best_solution,H,states,time
random,1,4,"[2, 0, 3, 1]",0,21,0.000066
HC,1,4,"[1, 3, 0, 2]",0,4,0.000056
SA,1,4,"[1, 3, 0, 2]",0,41,0.000086
GA,1,4,"[2, 0, 3, 1]",0,100,0.000000
random,2,4,"[1, 3, 0, 2]",0,194,0.000463
HC,2,4,"[1, 3, 0, 2]",0,3,0.000034
SA,2,4,"[1, 3, 0, 2]",0,11,0.000021
GA,2,4,"[2, 0, 3, 1]",0,198,0.000517
random,3,4,"[2, 0, 3, 1]",0,27,0.000087
HC,3,4,"[2, 0, 3, 1]",0,5,0.000069
SA,3,4,"[2, 0, 3, 1]",0,73,0.000139
GA,3,4,"[2, 0, 3, 1]",0,100,0.000000
random,4,4,"[1, 3, 0, 2]",0,124,0.000299
HC,4,4,"[1, 3, 0, 2]",0,3,0.000034
SA,4,4,"[2, 0, 3, 1]",0,39,0.000074
GA,4,4,"[1, 3, 0, 2]",0,296,0.000836
random,5,4,"[2, 0, 3, 1]",0,146,0.000350
HC,5,4,"[1, 3, 0, 2]",0,4,0.000051
SA,5,4,"[2, 0, 3, 1]",0,8,0.000015
GA,5,4,"[1, 3, 0, 2]",0,198,0.000428
random,6,4,"[1, 3, 0, 2]",0,414,0.000998
HC,6,4,"[1, 3, 0, 2]",0,4,0.000051
SA,6,4,"[1, 3, 0, 2]",0,7,0.000014
GA,6,4,"[2, 0, 3, 1]",0,198,0.000417
random,7,4,"[1, 3, 0, 2]",0,182,0.000437
HC,7,4,"[2, 0, 3, 1]",0,3,0.000035
SA,7,4,"[1, 3, 0, 2]",0,90,0.000171
GA,7,4,"[1, 3, 0, 2]",0,198,0.000421
random,8,4,"[1, 3, 0, 2]",0,120,0.000292
HC,8,4,"[2, 0, 3, 1]",0,4,0.000051
SA,8,4,"[2, 0, 3, 1]",0,22,0.000041
GA,8,4,"[1, 3, 0, 2]",0,198,0.000424
random,9,4,"[1, 3, 0, 2]",0,155,0.000371
HC,9,4,"[2, 0, 3, 1]",0,4,0.000051
SA,9,4,"[2, 0, 3, 1]",0,4,0.000007
GA,9,4,"[2, 0, 3, 1]",0,296,0.000894
random,10,4,"[1, 3, 0, 2]",0,213,0.000511
HC,10,4,"[2, 0, 3, 1]",0,5,0.000068
SA,10,4,"[2, 0, 3, 1]",0,83,0.000156
GA,10,4,"[1, 3, 0, 2]",0,198,0.000417
random,11,4,"[1, 3, 0, 2]",0,151,0.000361
HC,11,4,"[2, 0, 3, 1]",0,3,0.000035
SA,11,4,"[2, 0, 3, 1]",0,14,0.000027
GA,11,4,"[1, 3, 0, 2]",0,198,0.000417
random,12,4,"[1, 3, 0, 2]",0,99,0.000239
HC,12,4,"[2, 0, 3, 1]",0,4,0.000051
SA,12,4,"[2, 0, 3, 1]",0,49,0.000092
GA,12,4,"[1, 3, 0, 2]",0,100,0.000000
random,13,4,"[2, 0, 3, 1]",0,139,0.000333
HC,13,4,"[2, 0, 3, 1]",0,3,0.000034
SA,13,4,"[2, 0, 3, 1]",0,8,0.000015
GA,13,4,"[1, 3, 0, 2]",0,394,0.001240
random,14,4,"[1, 3, 0, 2]",0,63,0.000152
HC,14,4,"[1, 3, 0, 2]",0,6,0.000084
SA,14,4,"[2, 0, 3, 1]",0,95,0.000180
GA,14,4,"[1, 3, 0, 2]",0,100,0.000000
random,15,4,"[2, 0, 3, 1]",0,178,0.000432
