algoritmo,N,semilla,exito,tiempo,nodos
backtracking,4,0,1,4.76837158203125e-05,7
forward_checking,4,0,1,5.3882598876953125e-05,4
backtracking,4,1,1,0.00011587142944335938,45
forward_checking,4,1,1,9.655952453613281e-05,12
backtracking,4,2,1,2.7179718017578125e-05,7
forward_checking,4,2,1,3.5762786865234375e-05,4
backtracking,4,3,1,0.00010514259338378906,45
forward_checking,4,3,1,0.00013518333435058594,12
backtracking,4,4,1,2.6464462280273438e-05,8
forward_checking,4,4,1,5.1975250244140625e-05,4
backtracking,4,5,1,5.2928924560546875e-05,23
forward_checking,4,5,1,0.00010585784912109375,8
backtracking,4,6,1,7.939338684082031e-05,26
forward_checking,4,6,1,6.818771362304688e-05,8
backtracking,4,7,1,7.462501525878906e-05,27
forward_checking,4,7,1,9.822845458984375e-05,8
backtracking,4,8,1,6.914138793945312e-05,28
forward_checking,4,8,1,9.083747863769531e-05,8
backtracking,4,9,1,9.512901306152344e-05,28
forward_checking,4,9,1,9.059906005859375e-05,8
backtracking,4,10,1,9.393692016601562e-05,26
forward_checking,4,10,1,0.00014281272888183594,8
backtracking,4,11,1,4.458427429199219e-05,24
forward_checking,4,11,1,4.9114227294921875e-05,8
backtracking,4,12,1,4.2438507080078125e-05,26
forward_checking,4,12,1,4.744529724121094e-05,8
backtracking,4,13,1,0.00011801719665527344,41
forward_checking,4,13,1,0.0001308917999267578,12
backtracking,4,14,1,2.193450927734375e-05,8
forward_checking,4,14,1,2.5033950805664062e-05,4
backtracking,4,15,1,4.9591064453125e-05,24
forward_checking,4,15,1,4.291534423828125e-05,8
backtracking,4,16,1,6.508827209472656e-05,39
forward_checking,4,16,1,5.507469177246094e-05,12
backtracking,4,17,1,3.552436828613281e-05,26
forward_checking,4,17,1,3.8623809814453125e-05,8
backtracking,4,18,1,1.7404556274414062e-05,12
forward_checking,4,18,1,1.8596649169921875e-05,4
backtracking,4,19,1,1.7404556274414062e-05,10
forward_checking,4,19,1,1.811981201171875e-05,4
backtracking,4,20,1,1.4543533325195312e-05,5
forward_checking,4,20,1,1.8835067749023438e-05,4
backtracking,4,21,1,3.4332275390625e-05,25
forward_checking,4,21,1,3.600120544433594e-05,8
backtracking,4,22,1,3.528594970703125e-05,28
forward_checking,4,22,1,5.125999450683594e-05,8
backtracking,4,23,1,1.5735626220703125e-05,10
forward_checking,4,23,1,1.7881393432617188e-05,4
backtracking,4,24,1,1.5497207641601562e-05,7
forward_checking,4,24,1,2.09808349609375e-05,4
backtracking,4,25,1,1.9788742065429688e-05,12
forward_checking,4,25,1,1.7404556274414062e-05,4
backtracking,4,26,1,5.125999450683594e-05,44
forward_checking,4,26,1,5.054473876953125e-05,12
backtracking,4,27,1,3.266334533691406e-05,25
forward_checking,4,27,1,3.504753112792969e-05,8
backtracking,4,28,1,1.4066696166992188e-05,5
forward_checking,4,28,1,1.7404556274414062e-05,4
backtracking,4,29,1,3.337860107421875e-05,26
forward_checking,4,29,1,3.3855438232421875e-05,8
backtracking,8,0,1,0.000110626220703125,63
forward_checking,8,0,1,0.00016760826110839844,24
backtracking,8,1,1,5.8650970458984375e-05,30
forward_checking,8,1,1,0.00013184547424316406,14
backtracking,8,2,1,0.0001761913299560547,120
forward_checking,8,2,1,8.821487426757812e-05,11
backtracking,8,3,1,0.0005767345428466797,501
forward_checking,8,3,1,0.0002949237823486328,47
backtracking,8,4,1,0.0004425048828125,362
forward_checking,8,4,1,0.00021505355834960938,15
backtracking,8,5,1,0.000156402587890625,103
forward_checking,8,5,1,7.82012939453125e-05,8
backtracking,8,6,1,0.00012826919555664062,83
forward_checking,8,6,1,8.249282836914062e-05,9
backtracking,8,7,1,0.0002601146697998047,194
forward_checking,8,7,1,0.000164031982421875,16
backtracking,8,8,1,6.198883056640625e-05,23
forward_checking,8,8,1,7.2479248046875e-05,8
backtracking,8,9,1,0.00012540817260742188,95
forward_checking,8,9,1,9.5367431640625e-05,14
backtracking,8,10,1,0.00016045570373535156,126
forward_checking,8,10,1,6.747245788574219e-05,8
backtracking,8,11,1,0.0001990795135498047,168
forward_checking,8,11,1,9.274482727050781e-05,14
backtracking,8,12,1,0.0001125335693359375,81
forward_checking,8,12,1,6.723403930664062e-05,8
backtracking,8,13,1,0.00014209747314453125,114
forward_checking,8,13,1,9.107589721679688e-05,13
backtracking,8,14,1,6.747245788574219e-05,43
forward_checking,8,14,1,0.00011849403381347656,18
backtracking,8,15,1,0.0005161762237548828,445
forward_checking,8,15,1,0.00023984909057617188,42
backtracking,8,16,1,0.00011849403381347656,98
forward_checking,8,16,1,0.00018739700317382812,32
backtracking,8,17,1,9.083747863769531e-05,53
forward_checking,8,17,1,8.440017700195312e-05,12
backtracking,8,18,1,7.581710815429688e-05,53
forward_checking,8,18,1,8.678436279296875e-05,14
backtracking,8,19,1,9.036064147949219e-05,60
forward_checking,8,19,1,0.00016021728515625,30
backtracking,8,20,1,0.0002551078796386719,243
forward_checking,8,20,1,0.0001246929168701172,23
backtracking,8,21,1,0.00010418891906738281,85
forward_checking,8,21,1,6.151199340820312e-05,8
backtracking,8,22,1,6.842613220214844e-05,50
forward_checking,8,22,1,6.151199340820312e-05,8
backtracking,8,23,1,0.00027942657470703125,261
forward_checking,8,23,1,8.177757263183594e-05,12
backtracking,8,24,1,0.00015974044799804688,141
forward_checking,8,24,1,6.818771362304688e-05,10
backtracking,8,25,1,5.745887756347656e-05,39
forward_checking,8,25,1,9.965896606445312e-05,16
backtracking,8,26,1,0.00028061866760253906,269
forward_checking,8,26,1,0.00010776519775390625,19
backtracking,8,27,1,8.177757263183594e-05,65
forward_checking,8,27,1,6.413459777832031e-05,8
backtracking,8,28,1,3.9577484130859375e-05,20
forward_checking,8,28,1,7.414817810058594e-05,12
backtracking,8,29,1,6.008148193359375e-05,40
forward_checking,8,29,1,6.0558319091796875e-05,8
backtracking,10,0,1,0.0070953369140625,4425
forward_checking,10,0,1,0.0016791820526123047,279
backtracking,10,1,1,0.00021719932556152344,138
forward_checking,10,1,1,0.0001304149627685547,13
backtracking,10,2,1,0.001485586166381836,1233
forward_checking,10,2,1,0.0003695487976074219,59
backtracking,10,3,1,0.0006098747253417969,537
forward_checking,10,3,1,9.870529174804688e-05,11
backtracking,10,4,1,0.0024564266204833984,1790
forward_checking,10,4,1,0.000308990478515625,52
backtracking,10,5,1,0.00047969818115234375,423
forward_checking,10,5,1,0.0004055500030517578,58
backtracking,10,6,1,0.00037670135498046875,311
forward_checking,10,6,1,0.00021696090698242188,35
backtracking,10,7,1,0.0001010894775390625,67
forward_checking,10,7,1,0.00010919570922851562,14
backtracking,10,8,1,0.00019741058349609375,163
forward_checking,10,8,1,0.000164031982421875,24
backtracking,10,9,1,6.175041198730469e-05,29
forward_checking,10,9,1,0.0004367828369140625,67
backtracking,10,10,1,0.0003020763397216797,134
forward_checking,10,10,1,0.00010013580322265625,11
backtracking,10,11,1,0.0006330013275146484,564
forward_checking,10,11,1,0.00013136863708496094,17
backtracking,10,12,1,0.0027811527252197266,1628
forward_checking,10,12,1,0.0007278919219970703,66
backtracking,10,13,1,0.0014090538024902344,873
forward_checking,10,13,1,0.0002243518829345703,32
backtracking,10,14,1,6.437301635742188e-05,30
forward_checking,10,14,1,0.0002961158752441406,47
backtracking,10,15,1,0.0006253719329833984,500
forward_checking,10,15,1,0.00011944770812988281,15
backtracking,10,16,1,0.00030040740966796875,184
forward_checking,10,16,1,0.00031447410583496094,50
backtracking,10,17,1,0.0005795955657958984,467
forward_checking,10,17,1,0.0003180503845214844,56
backtracking,10,18,1,0.0014629364013671875,1223
forward_checking,10,18,1,0.00010395050048828125,12
backtracking,10,19,1,0.002115964889526367,1977
forward_checking,10,19,1,0.0002391338348388672,38
backtracking,10,20,1,0.0002875328063964844,236
forward_checking,10,20,1,0.00011730194091796875,15
backtracking,10,21,1,0.00044083595275878906,391
forward_checking,10,21,1,0.00010657310485839844,13
backtracking,10,22,1,0.00011324882507324219,77
forward_checking,10,22,1,0.0001552104949951172,22
backtracking,10,23,1,0.002170562744140625,1891
forward_checking,10,23,1,0.000141143798828125,19
backtracking,10,24,1,0.00012946128845214844,29
forward_checking,10,24,1,0.0003139972686767578,48
backtracking,10,25,1,9.72747802734375e-05,61
forward_checking,10,25,1,0.0008714199066162109,96
backtracking,10,26,1,0.001043081283569336,345
forward_checking,10,26,1,0.0037975311279296875,338
backtracking,10,27,1,0.00011205673217773438,53
forward_checking,10,27,1,0.00014925003051757812,19
backtracking,10,28,1,6.794929504394531e-05,37
forward_checking,10,28,1,0.0004267692565917969,71
backtracking,10,29,1,6.818771362304688e-05,35
forward_checking,10,29,1,0.000244140625,39
