id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
34424,Fresno europeo,10/03/2011 09:04,Medio (4 - 8 mts),130.0,Grande,-68.8510271775,-32.8741408646,6,Residencial Norte,2694682.37982,0,alto
23243,Morera,31/01/2012 17:15,Bajo (2 - 4 mts),20.0,Chico,-68.8526186589,-32.9017705919,2,Barrio Civico,2366816.36021,0,bajo
6605,Fresno europeo,10/05/2011 10:52,Alto (> 8 mts),120.0,Grande,-68.85680476,-32.8930524536,5,Residencial Sur,2423808.92355,0,alto
8201,Fresno europeo,15/03/2011 09:47,Alto (> 8 mts),79.0,Grande,-68.8410243948,-32.8919507779,2,Barrio Civico,2366816.36021,0,medio
42812,Morera,07/10/2011 18:20,Bajo (2 - 4 mts),25.0,Mediano,-68.8309145926,-32.8775339748,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
17443,Morera,29/07/2011 09:54,Alto (> 8 mts),152.0,Grande,-68.8347200372,-32.8671375566,4,Cuarta Oeste,1173332.70145,1,alto
20978,Olmo comun,22/06/2011 12:01,Medio (4 - 8 mts),148.0,Grande,-68.8641270682,-32.9006548917,5,Residencial Sur,2423808.92355,0,alto
1420,Prunas,23/11/2011 07:21,Muy bajo (1 - 2 mts),16.0,Chico,-68.8713406126,-32.8788313902,7,Residencial Parque,1786336.08966,0,bajo
2744,Fresno europeo,14/10/2011 11:37,Alto (> 8 mts),200.0,Grande,-68.8302442689,-32.885079448,3,Parque O'Higgins,1531146.02653,0,muy alto
1268,Paraiso sombrilla,05/12/2011 11:26,Bajo (2 - 4 mts),46.0,Mediano,-68.8789388268,-32.8685527894,8,Aeroparque,2203364.73622,0,bajo
16358,Morera,12/08/2011 09:02,Alto (> 8 mts),180.0,Grande,-68.8420676177,-32.8640611016,4,Cuarta Oeste,1173332.70145,0,muy alto
41028,Morera,12/04/2011 10:03,Medio (4 - 8 mts),80.0,Grande,-68.8405014063,-32.8807931641,1,Parque Central,1655357.93265,0,medio
38674,Fresno europeo,16/12/2010 11:58,Alto (> 8 mts),130.0,Grande,-68.8518019996,-32.8715104647,6,Residencial Norte,2694682.37982,0,alto
28845,Fresno americano,27/04/2011 09:16,Alto (> 8 mts),85.0,Grande,-68.8472365173,-32.8851305102,1,Parque Central,1655357.93265,0,medio
43205,Morera,11/11/2011 09:32,Medio (4 - 8 mts),48.0,Mediano,-68.8280888521,-32.8817922442,3,Parque O'Higgins,1531146.02653,0,bajo
30140,Morera,16/03/2011 08:14,Alto (> 8 mts),165.0,Grande,-68.8403628173,-32.8915604235,2,Barrio Civico,2366816.36021,0,muy alto
36263,Fresno europeo,17/03/2011 11:55,Alto (> 8 mts),102.0,Grande,-68.8530905686,-32.8780661233,6,Residencial Norte,2694682.37982,0,medio
45425,Ailanthus,09/09/2011 15:42,Alto (> 8 mts),70.0,Grande,-68.8259429567,-32.8725416928,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
6126,Morera,28/04/2011 11:48,Alto (> 8 mts),88.0,Grande,-68.8388328715,-32.8835667072,1,Parque Central,1655357.93265,0,medio
19010,Pltano,12/07/2011 09:48,Medio (4 - 8 mts),100.0,Grande,-68.8401651741,-32.8707573504,4,Cuarta Oeste,1173332.70145,0,medio
13414,Fresno europeo,07/01/2011 12:13,Medio (4 - 8 mts),27.0,Mediano,-68.8437959216,-32.8640492609,4,Cuarta Oeste,1173332.70145,0,bajo
11970,Morera,14/05/2010 10:24,Medio (4 - 8 mts),131.0,Grande,-68.8514523493,-32.8688073369,6,Residencial Norte,2694682.37982,0,alto
21313,Morera,15/06/2011 12:14,Alto (> 8 mts),145.0,Grande,-68.8538525815,-32.8985048559,5,Residencial Sur,2423808.92355,0,alto
37971,Fresno europeo,10/01/2012 18:00,Bajo (2 - 4 mts),80.0,Grande,-68.8480961233,-32.8727315084,6,Residencial Norte,2694682.37982,0,medio
7069,Perenne,03/06/2011 08:52,Bajo (2 - 4 mts),16.0,Chico,-68.8590775202,-32.8969703151,5,Residencial Sur,2423808.92355,0,bajo
5331,Paraiso sombrilla,26/04/2011 12:13,Medio (4 - 8 mts),80.0,Grande,-68.8427140646,-32.8780554018,1,Parque Central,1655357.93265,0,medio
3783,Morera,23/08/2011 12:46,Alto (> 8 mts),90.0,Grande,-68.8191305837,-32.870412039,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
6846,Morera,08/06/2011 11:06,Alto (> 8 mts),140.0,Grande,-68.8535593674,-32.8955141314,5,Residencial Sur,2423808.92355,1,alto
29998,Pltano,28/04/2011 09:15,Alto (> 8 mts),138.0,Grande,-68.841068928,-32.886481461,3,Parque O'Higgins,1531146.02653,0,alto
40610,Pltano,15/04/2011 10:16,Alto (> 8 mts),230.0,Grande,-68.8450276121,-32.8849854713,1,Parque Central,1655357.93265,0,muy alto
18068,Morera,28/07/2011 11:22,Alto (> 8 mts),148.0,Grande,-68.8404376769,-32.867919009,4,Cuarta Oeste,1173332.70145,0,alto
48057,Morera,27/09/2011 11:23,Alto (> 8 mts),184.0,Grande,-68.8263374362,-32.8665249772,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
7862,Morera,21/06/2011 13:46,Alto (> 8 mts),127.0,Grande,-68.8528867632,-32.8897200222,5,Residencial Sur,2423808.92355,0,alto
47457,Morera,20/09/2011 10:14,Alto (> 8 mts),125.0,Grande,-68.8306389121,-32.87488605,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
4080,Morera,29/09/2011 11:03,Medio (4 - 8 mts),85.0,Grande,-68.8338023754,-32.8764569044,4,Cuarta Este Área Fundacional,1822015.85685,1,medio
12957,Prunas,11/01/2011 14:03,Bajo (2 - 4 mts),75.0,Grande,-68.8439470186,-32.8636024763,4,Cuarta Oeste,1173332.70145,0,medio
19842,Morera,21/07/2011 10:10,Alto (> 8 mts),162.0,Grande,-68.8346800053,-32.8636081057,4,Cuarta Oeste,1173332.70145,0,muy alto
47784,Perenne,23/09/2011 13:35,Bajo (2 - 4 mts),30.0,Mediano,-68.8275234848,-32.8732286544,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
32858,Fresno europeo,10/06/2011 11:25,Alto (> 8 mts),120.0,Grande,-68.8490915249,-32.8856079902,1,Parque Central,1655357.93265,0,alto
47900,Morera,21/09/2011 10:36,Alto (> 8 mts),192.0,Grande,-68.8305858761,-32.873843221,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
10703,Morera,30/03/2011 12:37,Medio (4 - 8 mts),80.0,Grande,-68.8490764012,-32.875338887,6,Residencial Norte,2694682.37982,0,medio
35192,Fresno europeo,23/03/2011 12:44,Medio (4 - 8 mts),85.0,Grande,-68.8528722377,-32.8824112159,1,Parque Central,1655357.93265,0,medio
37388,Paraiso,26/11/2010 13:09,Alto (> 8 mts),100.0,Grande,-68.8570322022,-32.8718437728,6,Residencial Norte,2694682.37982,0,medio
28200,Morera,14/03/2011 18:05,Alto (> 8 mts),126.0,Grande,-68.8473126349,-32.893637469,2,Barrio Civico,2366816.36021,1,alto
10114,Jacarand,03/01/2011 12:18,Muy bajo (1 - 2 mts),2.0,Chico,-68.8569165966,-32.8717573963,6,Residencial Norte,2694682.37982,0,bajo
37081,Pltano,06/04/2011 09:43,Alto (> 8 mts),190.0,Grande,-68.8576837597,-32.8759261089,6,Residencial Norte,2694682.37982,0,muy alto
